idx	name	http_code	check_s	speed_s	speed_bps
168	seedd-009|CF电信优选	204	0.445472	2.268999	462131
169	seedd-010|CF电信优选	204	0.535186	2.922306	358818
170	seedd-011|CF电信优选	204	0.426353	2.171056	482979
171	seedd-012|CF电信优选	204	0.327934	2.102720	498676
172	seedd-013|CF电信优选	204	0.460892	2.131700	491896
173	seedd-014|CF电信优选	204	0.538856	2.275829	460744
174	seedd-015|CF电信优选	204	0.459634		0
175	seedd-016|CF电信优选	204	0.439420	2.053077	510733
176	seedd-017|CF电信优选	204	0.445704	2.974591	352510
177	seedd-018|CF电信优选	204	0.446201	2.184794	479942
178	seedd-019|CF电信优选	204	0.526415	2.502281	419048
179	seedd-020|CF电信优选	204	0.524707	2.308872	454150
180	seedd-021|CF电信优选	204	0.421343	2.223752	471534
181	seedd-022|CF电信优选	204	0.427559	2.065884	507567
182	seedd-023|CF电信优选	204	0.434782	2.138685	490290
183	seedd-024|CF电信优选	000	4.010444		0
184	seedd-025|CF电信优选	204	0.324278	2.146818	488432
185	seedd-026|CF电信优选	204	0.349627	2.134231	491313
186	seedd-027|CF电信优选	000	4.010035		0
187	seedd-028|CF电信优选	204	0.424369		0
188	seedd-029|CF电信优选	204	0.536347	2.193566	478023
189	seedd-030|CF电信优选	204	0.550133	3.120459	336032
190	seedd-031|CF电信优选	204	0.435085	2.949211	355544
191	seede-001|CF电信优选	204	0.438773	2.110947	496732
192	seede-002|CF电信优选	204	0.438981	2.345222	447111
193	seede-003|CF电信优选	204	0.433180	2.247781	466493
194	seede-004|CF电信优选	204	0.451128	2.343561	447428
195	seede-005|CF电信优选	204	0.370824	2.843645	368743
196	seede-006|CF电信优选	204	0.320436	2.958387	354441
197	seede-007|CF电信优选	204	0.347462	3.024290	346718
198	seede-008|CF电信优选	204	0.541655	2.695070	389071
199	seede-009|CF电信优选	204	0.433299	2.290525	457788
200	seede-010|CF电信优选	204	0.433111	4.754121	220561
